foreign_key_name	parent_schema_name	parent_table_name	parent_columns	referenced_schema_name	referenced_table_name	referenced_columns	update_referential_action_desc	delete_referential_action_desc	is_disabled	is_not_trusted
SXAEDIConfigurationTemplateSXAEDITransactionFK	dbo	SXAEDIConfigurationTemplate	TransactionID	dbo	SXAEDITransaction	TransactionID	NO_ACTION	NO_ACTION	0	0
SXAEDIDictionaryEntrySXAEDIDictionaryFK	dbo	SXAEDIDictionaryEntry	DictionaryID	dbo	SXAEDIDictionary	DictionaryID	NO_ACTION	NO_ACTION	0	0
SXAEDIDictionaryEntryTransactionXRefSXAEDIDictionaryEntryFK	dbo	SXAEDIDictionaryEntryTransactionXRef	DictionaryEntryID	dbo	SXAEDIDictionaryEntry	DictionaryEntryID	NO_ACTION	NO_ACTION	0	0
SXAEDIDictionaryEntryTransactionXRefSXAEDITransactionFK	dbo	SXAEDIDictionaryEntryTransactionXRef	TransactionID	dbo	SXAEDITransaction	TransactionID	NO_ACTION	NO_ACTION	0	0
SXAEDIDictionaryEntryXACodeXRefSXAEDIDictionaryEnetryFK	dbo	SXAEDIDictionaryEntryXACodeXRef	DictionaryEntryID	dbo	SXAEDIDictionaryEntry	DictionaryEntryID	NO_ACTION	NO_ACTION	0	0
SXAEDITarget270RuleSXAEDITargetConfigurationFK	dbo	SXAEDITarget270Rule	TargetConfigurationID	dbo	SXAEDITargetConfiguration	TargetConfigurationID	NO_ACTION	NO_ACTION	0	0
SXAEDITarget278EntityIDXRefSXAEDITargetConfigurationFK	dbo	SXAEDITarget278EntityIDXRef	TargetConfigurationID	dbo	SXAEDITargetConfiguration	TargetConfigurationID	NO_ACTION	NO_ACTION	0	0
SXAEDITarget278ServiceDurationSXAEDITargetConfigurationFK	dbo	SXAEDITarget278ServiceDuration	TargetConfigurationID	dbo	SXAEDITargetConfiguration	TargetConfigurationID	NO_ACTION	NO_ACTION	0	0
SXAEDITargetConfigurationSXAEDIConfigurationTemplateFK	dbo	SXAEDITargetConfiguration	ConfigurationTemplateID	dbo	SXAEDIConfigurationTemplate	ConfigurationTemplateID	NO_ACTION	NO_ACTION	0	0
SXAEDITargetConfigurationSXAEDITargetFK	dbo	SXAEDITargetConfiguration	TargetID	dbo	SXAEDITarget	TargetID	NO_ACTION	NO_ACTION	0	0
SXAEDITargetInsuranceXRefSXAEDITargetFK	dbo	SXAEDITargetInsuranceXRef	TargetID	dbo	SXAEDITarget	TargetID	NO_ACTION	NO_ACTION	0	0
SXAEDIValidationTemplateSXAEDIValidationTemplateTypeFK	dbo	SXAEDIValidationTemplate	ValidationTemplateTypeID	dbo	SXAEDIValidationTemplateType	ValidationTemplateTypeID	NO_ACTION	NO_ACTION	0	0
SXAEDLocationShiftXREFSXAEDLocationFK	dbo	SXAEDLocationShiftXREF	EDUnitGUID	dbo	SXAEDLocation	LocationGUID	NO_ACTION	NO_ACTION	0	0
SXAEDLocationShiftXREFSXAEDShiftFK	dbo	SXAEDLocationShiftXREF	ShiftID	dbo	SXAEDShift	ShiftID	NO_ACTION	NO_ACTION	0	0
SXAEDOccupancyMetricSXAEDLocationFK	dbo	SXAEDOccupancyMetric	DepartmentGUID	dbo	SXAEDLocation	LocationGUID	NO_ACTION	NO_ACTION	0	0
SXAEDOccupancyMetricLocationXrefSXAEDLocationFK	dbo	SXAEDOccupancyMetricLocationXref	LocationGUID	dbo	SXAEDLocation	LocationGUID	NO_ACTION	NO_ACTION	0	0
SXAEDOccupancyMetricLocationXrefSXAEDOccupancyMetricFK	dbo	SXAEDOccupancyMetricLocationXref	OccupancyMetricId	dbo	SXAEDOccupancyMetric	OccupancyMetricId	NO_ACTION	NO_ACTION	0	0
SXAEDOccupancyResultSXAEDOccupancyMetricFK	dbo	SXAEDOccupancyResult	OccupancyMetricId	dbo	SXAEDOccupancyMetric	OccupancyMetricId	NO_ACTION	NO_ACTION	0	0
SXAEDOpsMonitorQueueSXAEDOpsMonitorQueueFK	dbo	SXAEDOpsMonitorQueue	DependentQueueId	dbo	SXAEDOpsMonitorQueue	OpsMonitorQueueId	NO_ACTION	NO_ACTION	0	0
SXAEDOpsMonitorSectionSXAEDOpsMonitorDisplayFK	dbo	SXAEDOpsMonitorSection	DisplayID	dbo	SXAEDOpsMonitorDisplay	OpsMonitorDisplayId	NO_ACTION	NO_ACTION	0	0
SXAEDOpsMonitorSectionGraphSXAEDOccupancyMetricFK	dbo	SXAEDOpsMonitorSectionGraph	OccupancyId	dbo	SXAEDOccupancyMetric	OccupancyMetricId	NO_ACTION	NO_ACTION	0	0
SXAEDOpsMonitorSectionGraphSXAEDOpsMonitorSectionFK	dbo	SXAEDOpsMonitorSectionGraph	SectionId	dbo	SXAEDOpsMonitorSection	OpsMonitorSectionId	NO_ACTION	NO_ACTION	0	0
SXAEDOpsMonitorSectionGraphSXAEDTimeMetricFK	dbo	SXAEDOpsMonitorSectionGraph	TimeMetricId	dbo	SXAEDTimeMetric	TimeMetricId	NO_ACTION	NO_ACTION	0	0
SXAEDOpsMonitorSettingCV3ObsCatalogMasterItemFK	dbo	SXAEDOpsMonitorSetting	AcuityLevelGUID	dbo	CV3ObsCatalogMasterItem	GUID	NO_ACTION	NO_ACTION	0	0
SXAEDOpsMonitorSettingCV3ObsCatalogMasterItemFK01	dbo	SXAEDOpsMonitorSetting	TriageLevelGUID	dbo	CV3ObsCatalogMasterItem	GUID	NO_ACTION	NO_ACTION	0	0
SXAEDOpsMonitorSettingCV3ObsCatalogMasterItemFK02	dbo	SXAEDOpsMonitorSetting	DispoObservationGUID	dbo	CV3ObsCatalogMasterItem	GUID	NO_ACTION	NO_ACTION	0	0
SXAEDOpsMonitorSettingSXAEDOpsMonitorDisplayFK	dbo	SXAEDOpsMonitorSetting	DefaultViewID	dbo	SXAEDOpsMonitorDisplay	OpsMonitorDisplayId	NO_ACTION	NO_ACTION	0	0
SXAEDOrderAcknowledgementCV3OrderFK	dbo	SXAEDOrderAcknowledgement	OrderGUID	dbo	CV3Order	GUID	NO_ACTION	NO_ACTION	0	0
SXAEDOrderCategoryOrderStatusFromMappingCV3OrderStatusFK	dbo	SXAEDOrderCategoryOrderStatusFromMapping	ProgressFromOrderStatusCode	dbo	CV3OrderStatus	Code	NO_ACTION	NO_ACTION	0	0
SXAEDOrderCategoryOrderStatusFromMappingSXAEDOrderCategoryOrderStatusMappingFK	dbo	SXAEDOrderCategoryOrderStatusFromMapping	OrderCategoryOrderStatusMappingID	dbo	SXAEDOrderCategoryOrderStatusMapping	OrderCategoryOrderStatusMappingID	NO_ACTION	NO_ACTION	0	0
SXAEDOrderCategoryOrderStatusMappingCV3OrderStatusFK	dbo	SXAEDOrderCategoryOrderStatusMapping	ProgressToOrderStatusCode	dbo	CV3OrderStatus	Code	NO_ACTION	NO_ACTION	0	0
SXAEDOrderCategoryOrderStatusMappingCV3UserDictionaryValueFK	dbo	SXAEDOrderCategoryOrderStatusMapping	OrderCategoryGUID	dbo	CV3UserDictionaryValue	GUID	CASCADE	CASCADE	0	0
SXAEDOrderStatusLocationXREFSXAEDLocationFK	dbo	SXAEDOrderStatusLocationXREF	EDLocationGUID	dbo	SXAEDLocation	LocationGUID	NO_ACTION	NO_ACTION	0	0
SXAEDPatientEducationDataSXAEDPatientEducationDocFK	dbo	SXAEDPatientEducationData	EDPatEducationDocId	dbo	SXAEDPatientEducationDoc	EDPatEducationDocId	NO_ACTION	NO_ACTION	0	0
SXAEDPatienteducationDocSXAAMBPatienteducationDocFK	dbo	SXAEDPatientEducationDoc	PatEducationDocId	dbo	SXAAMBPatientEducationDoc	PatEducationDocID	NO_ACTION	CASCADE	0	0
SXAEDPatienteducationDocSXAEDElsevierLanguageFK	dbo	SXAEDPatientEducationDoc	ElsevierLanguageID	dbo	SXAEDElsevierLanguage	ElsevierLanguageID	NO_ACTION	NO_ACTION	0	0
SXAEDPatientEducationMacroDocXrefSXAEDPatientEducationDocFK	dbo	SXAEDPatientEducationMacroDocXref	EDPatEducationDocId	dbo	SXAEDPatientEducationDoc	EDPatEducationDocId	NO_ACTION	NO_ACTION	0	0
SXAEDPatientEducationMacroDocXrefSXAEDPatientEducationMacroFK	dbo	SXAEDPatientEducationMacroDocXref	PatientEducationMacroID	dbo	SXAEDPatientEducationMacro	PatientEducationMacroID	NO_ACTION	NO_ACTION	0	0
SXAEDPatientLoadForHourCV3CareProviderFK	dbo	SXAEDPatientLoadForHour	CareProviderGUID	dbo	CV3CareProvider	GUID	NO_ACTION	NO_ACTION	0	0
SXAEDPatientLoadForHourCV3LocationFK	dbo	SXAEDPatientLoadForHour	LocationGUID	dbo	CV3Location	GUID	NO_ACTION	NO_ACTION	0	0
SXAEDPatientLoadResultCV3CareProviderFK	dbo	SXAEDPatientLoadResult	CareProviderGUID	dbo	CV3CareProvider	GUID	NO_ACTION	NO_ACTION	0	0
SXAEDPatientLoadResultCV3LocationFK	dbo	SXAEDPatientLoadResult	LocationGUID	dbo	CV3Location	GUID	NO_ACTION	NO_ACTION	0	0
SXAEDPatientLoadRoleTypeCV3CareProviderRoleTypeFK	dbo	SXAEDPatientLoadRoleType	RoleTypeGUID	dbo	CV3CareProviderRoleType	GUID	NO_ACTION	NO_ACTION	0	0
SXAEDPatientsByTimeResultCV3LocationFK	dbo	SXAEDPatientsByTimeResult	LocationGUID	dbo	CV3Location	GUID	NO_ACTION	NO_ACTION	0	0
Disabled_SXAEDPatientsForHourCV3ClientVisitFK	dbo	SXAEDPatientsForHour	ClientVisitGUID	dbo	CV3ClientVisit	GUID	NO_ACTION	NO_ACTION	1	1
SXAEDPatientsForHourCV3LocationFK	dbo	SXAEDPatientsForHour	LocationGUID	dbo	CV3Location	GUID	NO_ACTION	NO_ACTION	0	0
SXAEDPreArrivalCommentValueSXAEDPreArrivalObservationFK	dbo	SXAEDPreArrivalCommentValue	PreArrivalObservationID	dbo	SXAEDPreArrivalObservation	PreArrivalObservationID	NO_ACTION	NO_ACTION	0	0
SXAEDPreArrivalDeptOtherSettingCV3PatientCareDocumentFK	dbo	SXAEDPreArrivalDeptOtherSetting	PatientCareDocId	dbo	CV3PatientCareDocument	GUID	NO_ACTION	NO_ACTION	0	0
SXAEDPreArrivalDeptOtherSettingSXAEDLocationFK	dbo	SXAEDPreArrivalDeptOtherSetting	DeptGUID	dbo	SXAEDLocation	LocationGUID	NO_ACTION	NO_ACTION	0	0
SXAEDPreArrivalDeptOtherSettingSXAEDStatusFK	dbo	SXAEDPreArrivalDeptOtherSetting	DefaultLocationStatusID	dbo	SXAEDStatus	StatusID	NO_ACTION	NO_ACTION	0	0
SXAEDPreArrivalDeptOtherSettingSXAFBFormFK	dbo	SXAEDPreArrivalDeptOtherSetting	FormBuilderFormId	dbo	SXAFBForm	FormID	NO_ACTION	NO_ACTION	0	0
SXAEDPreArrivalDeptSourceSettingSXAEDLocation01FK	dbo	SXAEDPreArrivalDeptSourceSetting	DeptGUID	dbo	SXAEDLocation	LocationGUID	NO_ACTION	NO_ACTION	0	0
SXAEDPreArrivalDeptSourceSettingSXAEDLocation02FK	dbo	SXAEDPreArrivalDeptSourceSetting	DefaultBedGUID	dbo	SXAEDLocation	LocationGUID	NO_ACTION	NO_ACTION	0	0
SXAEDPreArrivalDocTextSXAEDPreArrivalPlaceHolderFK	dbo	SXAEDPreArrivalDocText	PlaceHolderID	dbo	SXAEDPreArrivalPlaceholder	PlaceholderID	NO_ACTION	NO_ACTION	0	0
SXAEDPreArrivalListValueCV3ObsValidValueFK	dbo	SXAEDPreArrivalListValue	ValidValueGuid	dbo	CV3ObsValidValue	GUID	NO_ACTION	NO_ACTION	0	0
SXAEDPreArrivalListValueSXAEDPreArrivalObservationFK	dbo	SXAEDPreArrivalListValue	PreArrivalObservationID	dbo	SXAEDPreArrivalObservation	PreArrivalObservationID	NO_ACTION	NO_ACTION	0	0
SXAEDPreArrivalObservationCV3ObsCatalogMasterItemFK	dbo	SXAEDPreArrivalObservation	ObsMasterItemGUID	dbo	CV3ObsCatalogMasterItem	GUID	NO_ACTION	NO_ACTION	0	0
SXAEDPreArrivalObservationSXAEDPreArrivalPlaceHolderFK	dbo	SXAEDPreArrivalObservation	PlaceHolderID	dbo	SXAEDPreArrivalPlaceholder	PlaceholderID	NO_ACTION	NO_ACTION	0	0
SXAEDPreArrivalObservationSXAFBControlFK	dbo	SXAEDPreArrivalObservation	FBControlID	dbo	SXAFBControl	ControlID	NO_ACTION	NO_ACTION	0	0
SXAEDPreArrivalPlaceholderCV3GenderFK	dbo	SXAEDPreArrivalPlaceholder	GenderGUID	dbo	CV3Gender	GUID	NO_ACTION	NO_ACTION	0	0
SXAEDPreArrivalPlaceHolderCV3UserFK	dbo	SXAEDPreArrivalPlaceholder	UserGUID	dbo	CV3User	GUID	NO_ACTION	NO_ACTION	0	0
SXAEDPreArrivalPlaceholderSXAEDLocationFK	dbo	SXAEDPreArrivalPlaceholder	LocationGUID	dbo	SXAEDLocation	LocationGUID	NO_ACTION	NO_ACTION	0	0
SXAEDPreArrivalPlaceholderSXAEDPreArrivalDeptSourceSettingFK	dbo	SXAEDPreArrivalPlaceholder	SourceID	dbo	SXAEDPreArrivalDeptSourceSetting	DeptSourceID	NO_ACTION	NO_ACTION	0	0
