schema_name	routine_name	routine_type	parameter_id	parameter_name	data_type	character_or_binary_length	precision	scale	is_output	has_default_value	default_value
dbo	SXACCTravelTypeInsPr	SQL_STORED_PROCEDURE	4	@CreatedWhenUTC	datetimeoffset	NULL	30	3	0	0	NULL
dbo	SXACCTravelTypeInsUpdPr	SQL_STORED_PROCEDURE	1	@TravelTypeName	varchar	80	0	0	0	0	NULL
dbo	SXACCTravelTypeInsUpdPr	SQL_STORED_PROCEDURE	2	@TravelTypeDescription	varchar	255	0	0	0	0	NULL
dbo	SXACCTravelTypeInsUpdPr	SQL_STORED_PROCEDURE	3	@User	varchar	50	0	0	0	0	NULL
dbo	SXACCTravelTypeInsUpdPr	SQL_STORED_PROCEDURE	4	@Active	bit	NULL	1	0	0	0	NULL
dbo	SXACCTravelTypeInsUpdPr	SQL_STORED_PROCEDURE	5	@TouchedWhenUTC	datetimeoffset	NULL	30	3	0	0	NULL
dbo	SXACCTravelTypeInsUpdPr	SQL_STORED_PROCEDURE	6	@IsModify	bit	NULL	1	0	0	0	NULL
dbo	SXACCTravelTypeSelPr	SQL_STORED_PROCEDURE	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
dbo	SXACCTravelTypeUpdPr	SQL_STORED_PROCEDURE	1	@TravelTypeID	HVCIDdt	NULL	16	0	0	0	NULL
dbo	SXACCTravelTypeUpdPr	SQL_STORED_PROCEDURE	2	@TravelTypeName	varchar	80	0	0	0	0	NULL
dbo	SXACCTravelTypeUpdPr	SQL_STORED_PROCEDURE	3	@TravelTypeDescription	varchar	255	0	0	0	0	NULL
dbo	SXACCTravelTypeUpdPr	SQL_STORED_PROCEDURE	4	@TouchedBy	varchar	50	0	0	0	0	NULL
dbo	SXACCTravelTypeUpdPr	SQL_STORED_PROCEDURE	5	@TouchedWhenUTC	datetimeoffset	NULL	30	3	0	0	NULL
dbo	SXACCTravelTypeUpdPr	SQL_STORED_PROCEDURE	6	@Active	bit	NULL	1	0	0	0	NULL
dbo	SXACCUDDictionarySelPr	SQL_STORED_PROCEDURE	1	@DictionaryCode	varchar	30	0	0	0	0	NULL
dbo	SXACCUserAutoEnrollValidationSelPr	SQL_STORED_PROCEDURE	1	@HssUserId	varchar	-1	0	0	0	0	NULL
dbo	SXACCUserAutoEnrollValidationSelPr	SQL_STORED_PROCEDURE	2	@HssUserDomain	varchar	-1	0	0	0	0	NULL
dbo	SXACCUserAutoEnrollValidationSelPr	SQL_STORED_PROCEDURE	3	@IsEnterpriseUser	bit	NULL	1	0	0	0	NULL
dbo	SXACCValidatePumpChannelIDPr	SQL_STORED_PROCEDURE	1	@ChannelBarcodeID	varchar	50	0	0	0	0	NULL
dbo	SXACCVAPRate_R_Pr_CCC	SQL_STORED_PROCEDURE	1	@JobID	int	NULL	10	0	0	0	NULL
dbo	SXACCVentilatorDays_R_Pr_CCC	SQL_STORED_PROCEDURE	1	@JobID	int	NULL	10	0	0	0	NULL
dbo	SXACCVisitIDCodeSelPr	SQL_STORED_PROCEDURE	1	@ClientVisitGUID	HVCIDdt	NULL	16	0	0	0	NULL
dbo	SXACCVisitListAddVisitsInsPr	SQL_STORED_PROCEDURE	1	@UserID	varchar	30	0	0	0	0	NULL
dbo	SXACCVisitListAddVisitsInsPr	SQL_STORED_PROCEDURE	2	@ListName	varchar	50	0	0	0	0	NULL
dbo	SXACCVisitListAddVisitsInsPr	SQL_STORED_PROCEDURE	3	@ServiceUserID	varchar	30	0	0	0	0	NULL
dbo	SXACCVisitListAddVisitsInsPr	SQL_STORED_PROCEDURE	4	@TblClientVisitGUIDs	SXAGNBigintTbl	NULL	0	0	0	0	NULL
dbo	SXACCVisitListDelPr	SQL_STORED_PROCEDURE	1	@UserID	varchar	30	0	0	0	0	NULL
dbo	SXACCVisitListDelPr	SQL_STORED_PROCEDURE	2	@ListName	varchar	50	0	0	0	0	NULL
dbo	SXACCVisitListDelPr	SQL_STORED_PROCEDURE	3	@ServiceUserID	varchar	30	0	0	0	0	NULL
dbo	SXACCVisitListInsPr	SQL_STORED_PROCEDURE	1	@UserID	varchar	30	0	0	0	0	NULL
dbo	SXACCVisitListInsPr	SQL_STORED_PROCEDURE	2	@ListName	varchar	50	0	0	0	0	NULL
dbo	SXACCVisitListInsPr	SQL_STORED_PROCEDURE	3	@ServiceUserID	varchar	30	0	0	0	0	NULL
dbo	SXACCVisitListInsPr	SQL_STORED_PROCEDURE	4	@TblClientVisitGUIDs	SXAGNBigintTbl	NULL	0	0	0	0	NULL
dbo	SXACCVisitListRemoveVisitsDelPr	SQL_STORED_PROCEDURE	1	@UserID	varchar	30	0	0	0	0	NULL
dbo	SXACCVisitListRemoveVisitsDelPr	SQL_STORED_PROCEDURE	2	@ListName	varchar	50	0	0	0	0	NULL
dbo	SXACCVisitListRemoveVisitsDelPr	SQL_STORED_PROCEDURE	3	@ServiceUserID	varchar	30	0	0	0	0	NULL
dbo	SXACCVisitListRemoveVisitsDelPr	SQL_STORED_PROCEDURE	4	@TblClientVisitGUIDs	SXAGNBigintTbl	NULL	0	0	0	0	NULL
dbo	SXACCVisitsByProviderSelPr	SQL_STORED_PROCEDURE	1	@ProviderGUID	HVCIDdt	NULL	16	0	0	0	NULL
dbo	SXACCVisitsByProviderSelPr	SQL_STORED_PROCEDURE	2	@LocationGUID	HVCIDdt	NULL	16	0	0	0	NULL
dbo	SXACCVisitsByProviderSelPr	SQL_STORED_PROCEDURE	3	@PageSize	int	NULL	10	0	0	0	NULL
dbo	SXACCVisitsByProviderSelPr	SQL_STORED_PROCEDURE	4	@PagingDirection	varchar	10	0	0	0	0	NULL
dbo	SXACCVisitsByProviderSelPr	SQL_STORED_PROCEDURE	5	@CursorGuid	HVCIDdt	NULL	16	0	0	0	NULL
dbo	SXACDAntimicrobialIsolateReportStatusUpdPr	SQL_STORED_PROCEDURE	1	@IsolateResultGUID	HVCIDdt	NULL	16	0	0	0	NULL
dbo	SXACDAntimicrobialIsolateReportStatusUpdPr	SQL_STORED_PROCEDURE	2	@PerformedDate	datetime	NULL	23	3	0	0	NULL
dbo	SXACDAntimicrobialIsolateReportStatusUpdPr	SQL_STORED_PROCEDURE	3	@LocationGroupGUID	HVCIDdt	NULL	16	0	0	0	NULL
